!MOLECULE
CH spin-rotation spectrum up to 1000 cm^-1 above ground without hyperfine structure; based on CDMS v3 (June 2015)                                                                     
!MOLECULAR WEIGHT
   13.0     
! NUMBER OF ENERGY LEVELS
   31
!Level	E(cm-1)	   weight	J e/f +/- Omega
30  31   1  1.07e-16 1.76e-16 2.76e-16 4.23e-16 6.29e-16 9.05e-16 1.26e-15 1.72e-15 2.28e-15 2.96e-15 3.78e-15 4.73e-15 5.84e-15 7.10e-15 8.53e-15 1.01e-14 1.19e-14 1.39e-14 1.60e-14 1.83e-14 2.08e-14 2.35e-14 2.63e-14 2.93e-14 3.25e-14 3.58e-14 3.92e-14 4.28e-14 4.65e-14 5.04e-14 
31  30  29  7.91e-14 1.43e-13 2.13e-13 2.91e-13 3.76e-13 4.69e-13 5.70e-13 6.80e-13 7.98e-13 9.24e-13 1.06e-12 1.20e-12 1.35e-12 1.51e-12 1.68e-12 1.85e-12 2.03e-12 2.21e-12 2.40e-12 2.60e-12 2.79e-12 3.00e-12 3.21e-12 3.42e-12 3.63e-12 3.84e-12 4.06e-12 4.28e-12 4.50e-12 4.72e-12 
32  30  28  1.74e-12 2.74e-12 3.71e-12 4.70e-12 5.72e-12 6.77e-12 7.85e-12 8.94e-12 1.00e-11 1.11e-11 1.23e-11 1.34e-11 1.44e-11 1.55e-11 1.66e-11 1.76e-11 1.87e-11 1.97e-11 2.07e-11 2.17e-11 2.26e-11 2.36e-11 2.45e-11 2.54e-11 2.63e-11 2.72e-11 2.80e-11 2.89e-11 2.97e-11 3.05e-11 
33  30  27  9.02e-14 1.48e-13 2.10e-13 2.79e-13 3.55e-13 4.38e-13 5.28e-13 6.25e-13 7.26e-13 8.32e-13 9.41e-13 1.05e-12 1.17e-12 1.29e-12 1.40e-12 1.52e-12 1.64e-12 1.76e-12 1.88e-12 2.00e-12 2.13e-12 2.25e-12 2.37e-12 2.48e-12 2.60e-12 2.72e-12 2.84e-12 2.95e-12 3.07e-12 3.18e-12 
34  30  26  1.36e-12 2.15e-12 2.91e-12 3.69e-12 4.50e-12 5.34e-12 6.18e-12 7.04e-12 7.90e-12 8.75e-12 9.59e-12 1.04e-11 1.12e-11 1.20e-11 1.28e-11 1.36e-11 1.43e-11 1.50e-11 1.57e-11 1.64e-11 1.70e-11 1.76e-11 1.82e-11 1.88e-11 1.94e-11 2.00e-11 2.05e-11 2.10e-11 2.15e-11 2.20e-11 
35  30  25  5.01e-14 8.06e-14 1.13e-13 1.50e-13 1.92e-13 2.39e-13 2.93e-13 3.52e-13 4.18e-13 4.90e-13 5.69e-13 6.53e-13 7.43e-13 8.39e-13 9.40e-13 1.05e-12 1.16e-12 1.27e-12 1.39e-12 1.51e-12 1.63e-12 1.76e-12 1.89e-12 2.01e-12 2.15e-12 2.28e-12 2.41e-12 2.54e-12 2.68e-12 2.81e-12 
36  30  24  1.53e-13 2.50e-13 3.54e-13 4.69e-13 5.98e-13 7.38e-13 8.90e-13 1.05e-12 1.22e-12 1.40e-12 1.58e-12 1.76e-12 1.95e-12 2.14e-12 2.33e-12 2.52e-12 2.71e-12 2.90e-12 3.09e-12 3.28e-12 3.46e-12 3.65e-12 3.83e-12 4.01e-12 4.19e-12 4.37e-12 4.55e-12 4.72e-12 4.90e-12 5.07e-12 
37  30  23  3.21e-13 5.24e-13 7.36e-13 9.68e-13 1.22e-12 1.50e-12 1.79e-12 2.10e-12 2.43e-12 2.76e-12 3.11e-12 3.47e-12 3.83e-12 4.20e-12 4.57e-12 4.95e-12 5.33e-12 5.71e-12 6.10e-12 6.48e-12 6.87e-12 7.26e-12 7.66e-12 8.05e-12 8.44e-12 8.84e-12 9.23e-12 9.62e-12 1.00e-11 1.04e-11 
38  30  22  2.79e-14 4.61e-14 6.65e-14 9.02e-14 1.18e-13 1.49e-13 1.83e-13 2.21e-13 2.62e-13 3.06e-13 3.51e-13 3.99e-13 4.49e-13 5.00e-13 5.52e-13 6.06e-13 6.60e-13 7.16e-13 7.72e-13 8.30e-13 8.88e-13 9.46e-13 1.01e-12 1.07e-12 1.13e-12 1.19e-12 1.25e-12 1.31e-12 1.37e-12 1.43e-12 
39  30  21  4.11e-14 6.83e-14 1.00e-13 1.40e-13 1.88e-13 2.45e-13 3.12e-13 3.89e-13 4.75e-13 5.71e-13 6.76e-13 7.89e-13 9.10e-13 1.04e-12 1.17e-12 1.31e-12 1.46e-12 1.61e-12 1.77e-12 1.92e-12 2.08e-12 2.25e-12 2.41e-12 2.58e-12 2.75e-12 2.92e-12 3.09e-12 3.26e-12 3.42e-12 3.59e-12 
40  30  20  8.43e-14 1.39e-13 1.99e-13 2.68e-13 3.47e-13 4.35e-13 5.32e-13 6.38e-13 7.51e-13 8.71e-13 9.96e-13 1.13e-12 1.26e-12 1.40e-12 1.54e-12 1.68e-12 1.83e-12 1.98e-12 2.12e-12 2.28e-12 2.43e-12 2.58e-12 2.73e-12 2.89e-12 3.04e-12 3.20e-12 3.36e-12 3.51e-12 3.67e-12 3.82e-12 
41  30  19  1.39e-13 2.29e-13 3.28e-13 4.39e-13 5.66e-13 7.07e-13 8.62e-13 1.03e-12 1.20e-12 1.39e-12 1.58e-12 1.78e-12 1.98e-12 2.19e-12 2.39e-12 2.60e-12 2.81e-12 3.02e-12 3.23e-12 3.44e-12 3.65e-12 3.85e-12 4.05e-12 4.26e-12 4.45e-12 4.65e-12 4.84e-12 5.03e-12 5.22e-12 5.41e-12 
42  30  18  2.48e-14 4.13e-14 6.03e-14 8.30e-14 1.10e-13 1.41e-13 1.77e-13 2.16e-13 2.59e-13 3.05e-13 3.54e-13 4.05e-13 4.59e-13 5.14e-13 5.71e-13 6.29e-13 6.88e-13 7.48e-13 8.08e-13 8.69e-13 9.31e-13 9.92e-13 1.05e-12 1.12e-12 1.18e-12 1.24e-12 1.30e-12 1.36e-12 1.42e-12 1.48e-12 
43  30  17  2.12e-14 3.51e-14 5.14e-14 7.16e-14 9.61e-14 1.25e-13 1.59e-13 1.97e-13 2.40e-13 2.86e-13 3.37e-13 3.90e-13 4.47e-13 5.06e-13 5.68e-13 6.32e-13 6.98e-13 7.66e-13 8.36e-13 9.08e-13 9.81e-13 1.06e-12 1.13e-12 1.21e-12 1.29e-12 1.36e-12 1.44e-12 1.52e-12 1.60e-12 1.69e-12 
44  30  16  4.20e-14 6.94e-14 1.00e-13 1.37e-13 1.79e-13 2.27e-13 2.81e-13 3.41e-13 4.05e-13 4.74e-13 5.47e-13 6.23e-13 7.01e-13 7.82e-13 8.64e-13 9.48e-13 1.03e-12 1.12e-12 1.21e-12 1.29e-12 1.38e-12 1.47e-12 1.55e-12 1.64e-12 1.73e-12 1.81e-12 1.90e-12 1.98e-12 2.06e-12 2.14e-12 
