!MOLECULE
CH spin-rotation spectrum up to 1000 cm^-1 above ground without hyperfine structure; based on CDMS v3 (June 2015)                                                                     
!MOLECULAR WEIGHT
   13.0     
! NUMBER OF ENERGY LEVELS
   31
!Level	E(cm-1)	   weight	J e/f +/- Omega
234  23   1  2.82e-14 3.40e-14 4.22e-14 5.22e-14 6.34e-14 7.57e-14 8.86e-14 1.02e-13 1.16e-13 1.30e-13 1.45e-13 1.60e-13 1.75e-13 1.90e-13 2.06e-13 2.22e-13 2.39e-13 2.55e-13 2.72e-13 2.90e-13 3.08e-13 3.26e-13 3.44e-13 3.63e-13 3.83e-13 4.02e-13 4.22e-13 4.43e-13 4.64e-13 4.85e-13 
235  22  21  3.38e-12 3.43e-12 3.63e-12 3.88e-12 4.16e-12 4.46e-12 4.77e-12 5.08e-12 5.39e-12 5.70e-12 6.01e-12 6.32e-12 6.63e-12 6.93e-12 7.24e-12 7.54e-12 7.85e-12 8.15e-12 8.45e-12 8.74e-12 9.04e-12 9.33e-12 9.61e-12 9.89e-12 1.02e-11 1.04e-11 1.07e-11 1.10e-11 1.12e-11 1.15e-11 
236  22  20  2.79e-13 2.66e-13 3.05e-13 3.64e-13 4.35e-13 5.14e-13 6.01e-13 6.95e-13 7.93e-13 8.95e-13 1.00e-12 1.11e-12 1.22e-12 1.34e-12 1.46e-12 1.58e-12 1.70e-12 1.82e-12 1.94e-12 2.07e-12 2.20e-12 2.32e-12 2.45e-12 2.58e-12 2.71e-12 2.84e-12 2.97e-12 3.10e-12 3.23e-12 3.36e-12 
237  22  19  6.82e-12 6.03e-12 6.05e-12 6.31e-12 6.65e-12 7.04e-12 7.45e-12 7.87e-12 8.29e-12 8.71e-12 9.12e-12 9.53e-12 9.92e-12 1.03e-11 1.07e-11 1.10e-11 1.14e-11 1.17e-11 1.20e-11 1.23e-11 1.26e-11 1.29e-11 1.32e-11 1.35e-11 1.37e-11 1.40e-11 1.42e-11 1.44e-11 1.47e-11 1.49e-11 
238  22  18  1.33e-12 1.58e-12 1.96e-12 2.43e-12 2.94e-12 3.49e-12 4.06e-12 4.65e-12 5.24e-12 5.84e-12 6.45e-12 7.05e-12 7.65e-12 8.24e-12 8.83e-12 9.41e-12 9.99e-12 1.06e-11 1.11e-11 1.17e-11 1.22e-11 1.27e-11 1.33e-11 1.38e-11 1.43e-11 1.48e-11 1.53e-11 1.58e-11 1.63e-11 1.67e-11 
239  22  17  9.19e-12 9.64e-12 1.09e-11 1.25e-11 1.44e-11 1.63e-11 1.82e-11 2.02e-11 2.23e-11 2.43e-11 2.62e-11 2.82e-11 3.01e-11 3.20e-11 3.38e-11 3.56e-11 3.73e-11 3.90e-11 4.06e-11 4.22e-11 4.37e-11 4.52e-11 4.66e-11 4.80e-11 4.93e-11 5.06e-11 5.19e-11 5.31e-11 5.43e-11 5.54e-11 
240  22  16  9.25e-14 9.63e-14 1.19e-13 1.52e-13 1.95e-13 2.46e-13 3.05e-13 3.72e-13 4.47e-13 5.29e-13 6.19e-13 7.15e-13 8.17e-13 9.26e-13 1.04e-12 1.16e-12 1.28e-12 1.41e-12 1.54e-12 1.68e-12 1.82e-12 1.96e-12 2.11e-12 2.25e-12 2.40e-12 2.55e-12 2.71e-12 2.86e-12 3.02e-12 3.17e-12 
241  22  15  1.37e-13 1.45e-13 1.74e-13 2.14e-13 2.62e-13 3.16e-13 3.76e-13 4.41e-13 5.10e-13 5.84e-13 6.62e-13 7.43e-13 8.28e-13 9.14e-13 1.00e-12 1.09e-12 1.19e-12 1.28e-12 1.38e-12 1.47e-12 1.57e-12 1.66e-12 1.76e-12 1.85e-12 1.95e-12 2.04e-12 2.14e-12 2.23e-12 2.32e-12 2.42e-12 
242  22  14  2.50e-13 3.06e-13 4.00e-13 5.20e-13 6.62e-13 8.26e-13 1.01e-12 1.21e-12 1.43e-12 1.66e-12 1.90e-12 2.15e-12 2.42e-12 2.69e-12 2.97e-12 3.26e-12 3.55e-12 3.85e-12 4.16e-12 4.47e-12 4.78e-12 5.10e-12 5.42e-12 5.74e-12 6.06e-12 6.39e-12 6.72e-12 7.05e-12 7.38e-12 7.71e-12 
243  22  13  2.23e-13 2.68e-13 3.48e-13 4.51e-13 5.74e-13 7.13e-13 8.66e-13 1.03e-12 1.21e-12 1.39e-12 1.58e-12 1.77e-12 1.97e-12 2.16e-12 2.36e-12 2.56e-12 2.76e-12 2.96e-12 3.16e-12 3.36e-12 3.55e-12 3.75e-12 3.94e-12 4.13e-12 4.32e-12 4.50e-12 4.68e-12 4.86e-12 5.04e-12 5.21e-12 
244  22  12  9.98e-15 1.03e-14 1.32e-14 1.77e-14 2.37e-14 3.14e-14 4.08e-14 5.20e-14 6.54e-14 8.08e-14 9.85e-14 1.18e-13 1.41e-13 1.65e-13 1.92e-13 2.20e-13 2.51e-13 2.84e-13 3.19e-13 3.55e-13 3.93e-13 4.33e-13 4.74e-13 5.17e-13 5.61e-13 6.06e-13 6.52e-13 6.99e-13 7.47e-13 7.95e-13 
245  22  11  9.55e-15 1.20e-14 1.69e-14 2.36e-14 3.23e-14 4.30e-14 5.57e-14 7.07e-14 8.80e-14 1.08e-13 1.30e-13 1.55e-13 1.82e-13 2.12e-13 2.45e-13 2.80e-13 3.17e-13 3.57e-13 3.99e-13 4.44e-13 4.90e-13 5.39e-13 5.89e-13 6.41e-13 6.94e-13 7.49e-13 8.05e-13 8.62e-13 9.21e-13 9.80e-13 
246  22  10  2.47e-14 3.24e-14 4.51e-14 6.19e-14 8.26e-14 1.07e-13 1.34e-13 1.64e-13 1.97e-13 2.33e-13 2.70e-13 3.10e-13 3.51e-13 3.93e-13 4.37e-13 4.82e-13 5.28e-13 5.75e-13 6.22e-13 6.70e-13 7.19e-13 7.68e-13 8.18e-13 8.67e-13 9.17e-13 9.68e-13 1.02e-12 1.07e-12 1.12e-12 1.17e-12 
247  22   9  2.65e-14 3.59e-14 5.16e-14 7.36e-14 1.02e-13 1.38e-13 1.82e-13 2.34e-13 2.95e-13 3.64e-13 4.42e-13 5.28e-13 6.23e-13 7.25e-13 8.35e-13 9.52e-13 1.08e-12 1.20e-12 1.34e-12 1.48e-12 1.62e-12 1.77e-12 1.92e-12 2.08e-12 2.24e-12 2.40e-12 2.56e-12 2.72e-12 2.89e-12 3.05e-12 
248  22   8  5.44e-15 5.97e-15 7.95e-15 1.09e-14 1.50e-14 2.01e-14 2.66e-14 3.46e-14 4.42e-14 5.55e-14 6.88e-14 8.39e-14 1.01e-13 1.20e-13 1.41e-13 1.65e-13 1.90e-13 2.17e-13 2.46e-13 2.76e-13 3.09e-13 3.43e-13 3.78e-13 4.15e-13 4.53e-13 4.93e-13 5.33e-13 5.75e-13 6.17e-13 6.61e-13 
249  22   7  5.82e-15 7.60e-15 1.08e-14 1.52e-14 2.09e-14 2.77e-14 3.58e-14 4.51e-14 5.56e-14 6.72e-14 8.01e-14 9.42e-14 1.10e-13 1.26e-13 1.44e-13 1.62e-13 1.82e-13 2.03e-13 2.24e-13 2.47e-13 2.70e-13 2.94e-13 3.19e-13 3.44e-13 3.70e-13 3.97e-13 4.24e-13 4.51e-13 4.79e-13 5.07e-13 
250  22   6  1.10e-14 1.41e-14 1.95e-14 2.69e-14 3.62e-14 4.75e-14 6.10e-14 7.67e-14 9.46e-14 1.15e-13 1.37e-13 1.62e-13 1.90e-13 2.19e-13 2.51e-13 2.85e-13 3.21e-13 3.59e-13 3.99e-13 4.41e-13 4.85e-13 5.30e-13 5.77e-13 6.25e-13 6.74e-13 7.25e-13 7.77e-13 8.30e-13 8.84e-13 9.39e-13 
251  22   5  5.02e-15 6.55e-15 9.29e-15 1.30e-14 1.77e-14 2.32e-14 2.96e-14 3.68e-14 4.46e-14 5.32e-14 6.24e-14 7.22e-14 8.25e-14 9.35e-14 1.05e-13 1.17e-13 1.29e-13 1.42e-13 1.56e-13 1.69e-13 1.84e-13 1.98e-13 2.13e-13 2.29e-13 2.45e-13 2.61e-13 2.77e-13 2.94e-13 3.11e-13 3.29e-13 
252  22   4  2.64e-15 3.38e-15 4.89e-15 7.05e-15 9.87e-15 1.34e-14 1.76e-14 2.25e-14 2.81e-14 3.45e-14 4.15e-14 4.93e-14 5.78e-14 6.69e-14 7.67e-14 8.71e-14 9.81e-14 1.10e-13 1.22e-13 1.34e-13 1.48e-13 1.61e-13 1.75e-13 1.89e-13 2.04e-13 2.19e-13 2.34e-13 2.50e-13 2.66e-13 2.82e-13 
253  22   3  2.87e-15 3.61e-15 5.05e-15 7.07e-15 9.70e-15 1.30e-14 1.70e-14 2.18e-14 2.75e-14 3.42e-14 4.19e-14 5.07e-14 6.07e-14 7.19e-14 8.42e-14 9.77e-14 1.12e-13 1.28e-13 1.45e-13 1.63e-13 1.82e-13 2.02e-13 2.23e-13 2.44e-13 2.67e-13 2.90e-13 3.13e-13 3.38e-13 3.63e-13 3.88e-13 
254  22   2  1.93e-15 2.56e-15 3.69e-15 5.24e-15 7.21e-15 9.57e-15 1.23e-14 1.54e-14 1.88e-14 2.25e-14 2.64e-14 3.06e-14 3.50e-14 3.97e-14 4.45e-14 4.94e-14 5.46e-14 5.98e-14 6.52e-14 7.07e-14 7.63e-14 8.21e-14 8.79e-14 9.37e-14 9.97e-14 1.06e-13 1.12e-13 1.18e-13 1.24e-13 1.30e-13 
255  22   1  1.99e-15 2.56e-15 3.62e-15 5.13e-15 7.09e-15 9.56e-15 1.26e-14 1.62e-14 2.04e-14 2.54e-14 3.10e-14 3.74e-14 4.45e-14 5.24e-14 6.10e-14 7.04e-14 8.05e-14 9.12e-14 1.03e-13 1.15e-13 1.28e-13 1.41e-13 1.55e-13 1.69e-13 1.84e-13 1.99e-13 2.15e-13 2.31e-13 2.47e-13 2.64e-13 
256  21  20  5.68e-13 6.76e-13 8.33e-13 1.02e-12 1.22e-12 1.43e-12 1.65e-12 1.87e-12 2.10e-12 2.32e-12 2.54e-12 2.76e-12 2.98e-12 3.19e-12 3.40e-12 3.60e-12 3.80e-12 4.00e-12 4.19e-12 4.38e-12 4.56e-12 4.74e-12 4.92e-12 5.10e-12 5.27e-12 5.44e-12 5.60e-12 5.76e-12 5.92e-12 6.08e-12 
257  21  19  4.46e-13 5.16e-13 6.46e-13 8.13e-13 1.01e-12 1.24e-12 1.49e-12 1.76e-12 2.05e-12 2.35e-12 2.66e-12 2.97e-12 3.29e-12 3.62e-12 3.94e-12 4.26e-12 4.58e-12 4.90e-12 5.21e-12 5.52e-12 5.83e-12 6.13e-12 6.42e-12 6.71e-12 7.00e-12 7.28e-12 7.56e-12 7.83e-12 8.09e-12 8.36e-12 
258  21  18  8.03e-12 9.16e-12 1.07e-11 1.24e-11 1.42e-11 1.60e-11 1.78e-11 1.96e-11 2.13e-11 2.30e-11 2.46e-11 2.62e-11 2.78e-11 2.93e-11 3.08e-11 3.22e-11 3.36e-11 3.49e-11 3.62e-11 3.74e-11 3.87e-11 3.99e-11 4.10e-11 4.21e-11 4.32e-11 4.43e-11 4.53e-11 4.63e-11 4.73e-11 4.83e-11 
259  21  17  3.34e-12 3.77e-12 4.41e-12 5.14e-12 5.91e-12 6.68e-12 7.44e-12 8.19e-12 8.91e-12 9.60e-12 1.03e-11 1.09e-11 1.15e-11 1.21e-11 1.26e-11 1.32e-11 1.37e-11 1.42e-11 1.46e-11 1.51e-11 1.55e-11 1.59e-11 1.63e-11 1.66e-11 1.70e-11 1.74e-11 1.77e-11 1.80e-11 1.83e-11 1.86e-11 
260  21  16  2.13e-13 2.50e-13 3.08e-13 3.78e-13 4.56e-13 5.40e-13 6.29e-13 7.22e-13 8.18e-13 9.17e-13 1.02e-12 1.12e-12 1.22e-12 1.33e-12 1.44e-12 1.54e-12 1.65e-12 1.76e-12 1.87e-12 1.98e-12 2.08e-12 2.19e-12 2.30e-12 2.41e-12 2.52e-12 2.63e-12 2.74e-12 2.85e-12 2.96e-12 3.07e-12 
261  21  15  6.01e-13 7.35e-13 9.38e-13 1.19e-12 1.49e-12 1.81e-12 2.17e-12 2.55e-12 2.95e-12 3.36e-12 3.78e-12 4.20e-12 4.63e-12 5.06e-12 5.49e-12 5.92e-12 6.34e-12 6.75e-12 7.16e-12 7.56e-12 7.95e-12 8.33e-12 8.71e-12 9.07e-12 9.43e-12 9.77e-12 1.01e-11 1.04e-11 1.08e-11 1.11e-11 
262  21  14  5.17e-13 6.06e-13 7.38e-13 8.95e-13 1.07e-12 1.25e-12 1.44e-12 1.64e-12 1.83e-12 2.03e-12 2.22e-12 2.42e-12 2.61e-12 2.80e-12 2.98e-12 3.17e-12 3.35e-12 3.52e-12 3.70e-12 3.87e-12 4.04e-12 4.21e-12 4.37e-12 4.53e-12 4.69e-12 4.85e-12 5.00e-12 5.15e-12 5.30e-12 5.45e-12 
263  21  13  1.50e-12 1.76e-12 2.13e-12 2.55e-12 3.01e-12 3.49e-12 3.99e-12 4.51e-12 5.03e-12 5.56e-12 6.09e-12 6.62e-12 7.15e-12 7.69e-12 8.22e-12 8.74e-12 9.27e-12 9.79e-12 1.03e-11 1.08e-11 1.13e-11 1.19e-11 1.24e-11 1.29e-11 1.34e-11 1.39e-11 1.43e-11 1.48e-11 1.53e-11 1.58e-11 
264  21  12  2.28e-13 2.78e-13 3.51e-13 4.39e-13 5.40e-13 6.52e-13 7.71e-13 8.96e-13 1.03e-12 1.16e-12 1.30e-12 1.44e-12 1.58e-12 1.72e-12 1.86e-12 2.00e-12 2.14e-12 2.28e-12 2.42e-12 2.56e-12 2.70e-12 2.83e-12 2.97e-12 3.10e-12 3.24e-12 3.37e-12 3.50e-12 3.63e-12 3.76e-12 3.88e-12 
265  21  11  1.82e-13 2.18e-13 2.71e-13 3.36e-13 4.08e-13 4.88e-13 5.75e-13 6.67e-13 7.65e-13 8.68e-13 9.76e-13 1.09e-12 1.21e-12 1.33e-12 1.45e-12 1.58e-12 1.71e-12 1.85e-12 1.98e-12 2.12e-12 2.26e-12 2.41e-12 2.55e-12 2.70e-12 2.85e-12 3.00e-12 3.14e-12 3.30e-12 3.45e-12 3.60e-12 
266  21  10  4.39e-13 5.23e-13 6.46e-13 7.93e-13 9.59e-13 1.14e-12 1.33e-12 1.53e-12 1.73e-12 1.94e-12 2.15e-12 2.37e-12 2.59e-12 2.81e-12 3.03e-12 3.26e-12 3.48e-12 3.70e-12 3.93e-12 4.15e-12 4.37e-12 4.59e-12 4.82e-12 5.04e-12 5.25e-12 5.47e-12 5.69e-12 5.90e-12 6.12e-12 6.33e-12 
267  21   9  4.00e-13 4.73e-13 5.82e-13 7.12e-13 8.57e-13 1.01e-12 1.18e-12 1.34e-12 1.52e-12 1.69e-12 1.86e-12 2.04e-12 2.21e-12 2.38e-12 2.55e-12 2.71e-12 2.88e-12 3.04e-12 3.19e-12 3.34e-12 3.49e-12 3.64e-12 3.78e-12 3.92e-12 4.05e-12 4.18e-12 4.31e-12 4.43e-12 4.55e-12 4.66e-12 
268  21   8  1.13e-13 1.34e-13 1.66e-13 2.06e-13 2.50e-13 2.99e-13 3.50e-13 4.03e-13 4.57e-13 5.13e-13 5.69e-13 6.25e-13 6.82e-13 7.39e-13 7.96e-13 8.53e-13 9.10e-13 9.67e-13 1.02e-12 1.08e-12 1.14e-12 1.20e-12 1.25e-12 1.31e-12 1.37e-12 1.43e-12 1.48e-12 1.54e-12 1.60e-12 1.66e-12 
269  21   7  1.48e-13 1.83e-13 2.36e-13 3.01e-13 3.77e-13 4.62e-13 5.55e-13 6.56e-13 7.62e-13 8.74e-13 9.91e-13 1.11e-12 1.23e-12 1.36e-12 1.49e-12 1.62e-12 1.75e-12 1.88e-12 2.01e-12 2.14e-12 2.28e-12 2.41e-12 2.54e-12 2.67e-12 2.80e-12 2.93e-12 3.06e-12 3.19e-12 3.32e-12 3.44e-12 
270  21   6  1.22e-13 1.46e-13 1.83e-13 2.27e-13 2.79e-13 3.35e-13 3.95e-13 4.59e-13 5.24e-13 5.90e-13 6.58e-13 7.25e-13 7.93e-13 8.60e-13 9.27e-13 9.93e-13 1.06e-12 1.12e-12 1.19e-12 1.25e-12 1.31e-12 1.37e-12 1.43e-12 1.49e-12 1.54e-12 1.60e-12 1.65e-12 1.71e-12 1.76e-12 1.81e-12 
271  21   5  7.83e-14 9.68e-14 1.24e-13 1.58e-13 1.97e-13 2.41e-13 2.89e-13 3.41e-13 3.97e-13 4.56e-13 5.19e-13 5.85e-13 6.54e-13 7.26e-13 8.00e-13 8.78e-13 9.58e-13 1.04e-12 1.12e-12 1.21e-12 1.30e-12 1.39e-12 1.48e-12 1.58e-12 1.67e-12 1.77e-12 1.86e-12 1.96e-12 2.06e-12 2.15e-12 
272  21   4  8.62e-14 1.03e-13 1.28e-13 1.59e-13 1.93e-13 2.31e-13 2.71e-13 3.14e-13 3.59e-13 4.06e-13 4.54e-13 5.04e-13 5.55e-13 6.07e-13 6.60e-13 7.14e-13 7.69e-13 8.25e-13 8.82e-13 9.39e-13 9.97e-13 1.06e-12 1.12e-12 1.17e-12 1.24e-12 1.30e-12 1.36e-12 1.42e-12 1.48e-12 1.54e-12 
273  21   3  6.48e-14 7.59e-14 9.37e-14 1.16e-13 1.40e-13 1.67e-13 1.96e-13 2.26e-13 2.56e-13 2.88e-13 3.20e-13 3.52e-13 3.85e-13 4.19e-13 4.53e-13 4.88e-13 5.23e-13 5.59e-13 5.96e-13 6.33e-13 6.71e-13 7.10e-13 7.49e-13 7.90e-13 8.30e-13 8.72e-13 9.14e-13 9.57e-13 1.00e-12 1.04e-12 
274  21   2  5.56e-14 6.64e-14 8.27e-14 1.03e-13 1.26e-13 1.52e-13 1.79e-13 2.09e-13 2.41e-13 2.74e-13 3.08e-13 3.44e-13 3.81e-13 4.19e-13 4.58e-13 4.98e-13 5.39e-13 5.80e-13 6.22e-13 6.65e-13 7.08e-13 7.51e-13 7.96e-13 8.40e-13 8.85e-13 9.30e-13 9.75e-13 1.02e-12 1.07e-12 1.11e-12 
275  21   1  4.92e-14 5.84e-14 7.29e-14 9.09e-14 1.11e-13 1.34e-13 1.58e-13 1.84e-13 2.10e-13 2.36e-13 2.63e-13 2.90e-13 3.17e-13 3.44e-13 3.70e-13 3.96e-13 4.22e-13 4.47e-13 4.72e-13 4.97e-13 5.21e-13 5.45e-13 5.68e-13 5.91e-13 6.14e-13 6.36e-13 6.58e-13 6.80e-13 7.02e-13 7.23e-13 
276  20  19  3.47e-12 3.44e-12 3.61e-12 3.84e-12 4.11e-12 4.39e-12 4.68e-12 4.98e-12 5.28e-12 5.58e-12 5.89e-12 6.20e-12 6.51e-12 6.81e-12 7.12e-12 7.43e-12 7.74e-12 8.04e-12 8.34e-12 8.64e-12 8.94e-12 9.23e-12 9.52e-12 9.81e-12 1.01e-11 1.04e-11 1.06e-11 1.09e-11 1.12e-11 1.14e-11 
277  20  18  7.00e-12 7.47e-12 8.28e-12 9.21e-12 1.02e-11 1.11e-11 1.21e-11 1.30e-11 1.39e-11 1.48e-11 1.56e-11 1.64e-11 1.72e-11 1.79e-11 1.86e-11 1.93e-11 1.99e-11 2.06e-11 2.12e-11 2.17e-11 2.23e-11 2.28e-11 2.33e-11 2.38e-11 2.42e-11 2.47e-11 2.51e-11 2.56e-11 2.60e-11 2.63e-11 
278  20  17  1.90e-13 2.12e-13 2.55e-13 3.09e-13 3.70e-13 4.37e-13 5.09e-13 5.85e-13 6.66e-13 7.50e-13 8.39e-13 9.31e-13 1.03e-12 1.13e-12 1.23e-12 1.34e-12 1.44e-12 1.56e-12 1.67e-12 1.79e-12 1.91e-12 2.03e-12 2.15e-12 2.28e-12 2.40e-12 2.53e-12 2.65e-12 2.78e-12 2.91e-12 3.03e-12 
279  20  16  2.00e-12 2.28e-12 2.77e-12 3.34e-12 3.96e-12 4.60e-12 5.25e-12 5.90e-12 6.55e-12 7.20e-12 7.84e-12 8.47e-12 9.09e-12 9.70e-12 1.03e-11 1.09e-11 1.15e-11 1.20e-11 1.26e-11 1.31e-11 1.37e-11 1.42e-11 1.47e-11 1.52e-11 1.57e-11 1.62e-11 1.67e-11 1.71e-11 1.76e-11 1.80e-11 
280  20  15  1.27e-11 1.29e-11 1.41e-11 1.57e-11 1.76e-11 1.95e-11 2.15e-11 2.35e-11 2.56e-11 2.76e-11 2.96e-11 3.16e-11 3.35e-11 3.54e-11 3.72e-11 3.89e-11 4.06e-11 4.23e-11 4.39e-11 4.54e-11 4.69e-11 4.84e-11 4.97e-11 5.11e-11 5.24e-11 5.36e-11 5.48e-11 5.60e-11 5.71e-11 5.81e-11 
281  20  14  2.87e-13 3.10e-13 3.64e-13 4.30e-13 5.04e-13 5.83e-13 6.67e-13 7.53e-13 8.42e-13 9.33e-13 1.03e-12 1.12e-12 1.21e-12 1.31e-12 1.41e-12 1.51e-12 1.60e-12 1.70e-12 1.80e-12 1.90e-12 2.00e-12 2.10e-12 2.20e-12 2.30e-12 2.40e-12 2.50e-12 2.60e-12 2.70e-12 2.80e-12 2.90e-12 
282  20  13  4.52e-13 4.84e-13 5.74e-13 6.95e-13 8.37e-13 9.96e-13 1.17e-12 1.35e-12 1.54e-12 1.73e-12 1.93e-12 2.12e-12 2.32e-12 2.52e-12 2.72e-12 2.91e-12 3.10e-12 3.29e-12 3.48e-12 3.66e-12 3.83e-12 4.01e-12 4.18e-12 4.34e-12 4.50e-12 4.66e-12 4.81e-12 4.96e-12 5.10e-12 5.24e-12 
283  20  12  5.12e-13 6.05e-13 7.72e-13 9.83e-13 1.23e-12 1.50e-12 1.81e-12 2.13e-12 2.47e-12 2.83e-12 3.20e-12 3.59e-12 3.98e-12 4.39e-12 4.80e-12 5.22e-12 5.65e-12 6.08e-12 6.51e-12 6.95e-12 7.40e-12 7.84e-12 8.29e-12 8.74e-12 9.19e-12 9.64e-12 1.01e-11 1.05e-11 1.10e-11 1.14e-11 
284  20  11  2.82e-13 3.43e-13 4.47e-13 5.78e-13 7.33e-13 9.06e-13 1.09e-12 1.29e-12 1.50e-12 1.72e-12 1.94e-12 2.16e-12 2.39e-12 2.61e-12 2.84e-12 3.06e-12 3.28e-12 3.50e-12 3.72e-12 3.93e-12 4.14e-12 4.35e-12 4.55e-12 4.75e-12 4.95e-12 5.15e-12 5.34e-12 5.53e-12 5.71e-12 5.89e-12 
285  20  10  2.37e-14 2.98e-14 4.10e-14 5.64e-14 7.61e-14 1.00e-13 1.30e-13 1.64e-13 2.03e-13 2.48e-13 2.97e-13 3.52e-13 4.11e-13 4.75e-13 5.44e-13 6.17e-13 6.94e-13 7.75e-13 8.59e-13 9.46e-13 1.04e-12 1.13e-12 1.22e-12 1.32e-12 1.42e-12 1.52e-12 1.62e-12 1.72e-12 1.82e-12 1.93e-12 
286  20   9  4.30e-14 5.06e-14 6.66e-14 8.88e-14 1.17e-13 1.51e-13 1.91e-13 2.37e-13 2.87e-13 3.43e-13 4.03e-13 4.67e-13 5.34e-13 6.05e-13 6.77e-13 7.51e-13 8.27e-13 9.04e-13 9.81e-13 1.06e-12 1.14e-12 1.21e-12 1.29e-12 1.37e-12 1.45e-12 1.52e-12 1.60e-12 1.67e-12 1.75e-12 1.82e-12 
287  20   8  4.35e-14 5.46e-14 7.43e-14 9.99e-14 1.30e-13 1.64e-13 2.02e-13 2.43e-13 2.86e-13 3.31e-13 3.78e-13 4.27e-13 4.77e-13 5.29e-13 5.82e-13 6.36e-13 6.91e-13 7.47e-13 8.03e-13 8.60e-13 9.18e-13 9.76e-13 1.03e-12 1.09e-12 1.15e-12 1.21e-12 1.27e-12 1.33e-12 1.39e-12 1.45e-12 
288  20   7  6.59e-14 8.40e-14 1.14e-13 1.55e-13 2.06e-13 2.68e-13 3.41e-13 4.26e-13 5.22e-13 6.28e-13 7.46e-13 8.73e-13 1.01e-12 1.16e-12 1.31e-12 1.47e-12 1.64e-12 1.81e-12 1.99e-12 2.17e-12 2.36e-12 2.55e-12 2.74e-12 2.94e-12 3.14e-12 3.33e-12 3.53e-12 3.73e-12 3.93e-12 4.13e-12 
289  20   6  9.55e-15 1.14e-14 1.53e-14 2.06e-14 2.74e-14 3.57e-14 4.58e-14 5.78e-14 7.18e-14 8.78e-14 1.06e-13 1.26e-13 1.48e-13 1.71e-13 1.96e-13 2.23e-13 2.51e-13 2.81e-13 3.11e-13 3.43e-13 3.75e-13 4.09e-13 4.43e-13 4.77e-13 5.12e-13 5.47e-13 5.83e-13 6.19e-13 6.55e-13 6.91e-13 
290  20   5  6.00e-15 7.78e-15 1.10e-14 1.54e-14 2.09e-14 2.77e-14 3.59e-14 4.55e-14 5.68e-14 6.97e-14 8.43e-14 1.01e-13 1.19e-13 1.38e-13 1.60e-13 1.83e-13 2.07e-13 2.33e-13 2.60e-13 2.89e-13 3.18e-13 3.49e-13 3.81e-13 4.14e-13 4.47e-13 4.81e-13 5.16e-13 5.51e-13 5.87e-13 6.23e-13 
291  20   4  2.36e-14 2.93e-14 3.94e-14 5.29e-14 6.95e-14 8.94e-14 1.13e-13 1.39e-13 1.70e-13 2.04e-13 2.41e-13 2.82e-13 3.27e-13 3.75e-13 4.25e-13 4.79e-13 5.36e-13 5.95e-13 6.56e-13 7.20e-13 7.85e-13 8.52e-13 9.21e-13 9.92e-13 1.06e-12 1.14e-12 1.21e-12 1.28e-12 1.36e-12 1.43e-12 
292  20   3  1.48e-14 1.92e-14 2.68e-14 3.68e-14 4.89e-14 6.27e-14 7.82e-14 9.51e-14 1.13e-13 1.32e-13 1.53e-13 1.74e-13 1.96e-13 2.19e-13 2.43e-13 2.67e-13 2.92e-13 3.18e-13 3.44e-13 3.71e-13 3.98e-13 4.26e-13 4.54e-13 4.83e-13 5.12e-13 5.41e-13 5.71e-13 6.01e-13 6.31e-13 6.61e-13 
293  20   2  3.35e-15 4.26e-15 6.01e-15 8.47e-15 1.17e-14 1.58e-14 2.09e-14 2.70e-14 3.43e-14 4.26e-14 5.22e-14 6.28e-14 7.45e-14 8.72e-14 1.01e-13 1.15e-13 1.31e-13 1.47e-13 1.64e-13 1.82e-13 2.00e-13 2.19e-13 2.38e-13 2.58e-13 2.78e-13 2.98e-13 3.18e-13 3.39e-13 3.60e-13 3.81e-13 
294  20   1  8.47e-15 1.08e-14 1.49e-14 2.03e-14 2.68e-14 3.43e-14 4.27e-14 5.18e-14 6.17e-14 7.22e-14 8.32e-14 9.47e-14 1.07e-13 1.19e-13 1.32e-13 1.44e-13 1.58e-13 1.71e-13 1.84e-13 1.98e-13 2.12e-13 2.26e-13 2.39e-13 2.53e-13 2.67e-13 2.82e-13 2.96e-13 3.10e-13 3.24e-13 3.38e-13 
295  19  18  4.74e-13 5.18e-13 5.93e-13 6.83e-13 7.83e-13 8.91e-13 1.00e-12 1.12e-12 1.24e-12 1.36e-12 1.49e-12 1.62e-12 1.75e-12 1.89e-12 2.02e-12 2.16e-12 2.30e-12 2.45e-12 2.59e-12 2.74e-12 2.88e-12 3.03e-12 3.18e-12 3.33e-12 3.48e-12 3.63e-12 3.78e-12 3.93e-12 4.08e-12 4.23e-12 
296  19  17  1.68e-13 2.65e-13 4.12e-13 6.13e-13 8.70e-13 1.18e-12 1.55e-12 1.97e-12 2.44e-12 2.94e-12 3.48e-12 4.04e-12 4.63e-12 5.23e-12 5.84e-12 6.45e-12 7.06e-12 7.68e-12 8.28e-12 8.88e-12 9.47e-12 1.00e-11 1.06e-11 1.12e-11 1.17e-11 1.22e-11 1.27e-11 1.32e-11 1.37e-11 1.42e-11 
