!MOLECULE
 NO from JPL database, updated 2010, incl. cross-ladder trans.          
!MOLECULAR WEIGHT
 30.
! NUMBER OF ENERGY LEVELS
 154
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J (or other quantum numbers)
   196    40    35  2.530E-14           2.54627260   115.54     
   197    44    43  2.219E-14           2.65487410   151.62     
   198    44    42  4.208E-16           2.69904180   151.62     
   199    45    43  3.766E-16           2.71745260   151.62     
   200    45    42  2.463E-14           2.76162020   151.62     
   201    45    41  4.148E-16           2.80813630   151.62     
   202    46    42  3.790E-16           2.83196190   151.63     
   203    46    41  2.837E-14           2.87847790   151.63     
   204    62    61  2.521E-14           2.98117610   192.52     
   205    62    60  3.688E-16           3.02562560   192.52     
   206    63    61  3.346E-16           3.04405630   192.53     
   207    63    60  2.771E-14           3.08850570   192.53     
   208    63    59  3.645E-16           3.13443220   192.53     
   209    64    60  3.363E-16           3.15797010   192.53     
   210    64    59  3.135E-14           3.20389670   192.53     
   211    80    79  2.813E-14           3.30012980   238.23     
   212    80    78  3.272E-16           3.34467990   238.23     
   213    81    79  3.001E-16           3.36332220   238.24     
   214    81    78  3.069E-14           3.40787230   238.24     
   215    81    77  3.240E-16           3.45315000   238.24     
   216    82    78  3.013E-16           3.47667660   238.24     
   217    82    77  3.424E-14           3.52195440   238.24     
   218    92    91  3.095E-14           3.61121280   288.75     
   219    92    90  2.931E-16           3.65572960   288.75     
   220    93    91  2.712E-16           3.67471750   288.76     
   221    93    90  3.355E-14           3.71923430   288.76     
   222    93    89  2.907E-16           3.76382250   288.76     
   223    94    90  2.722E-16           3.78752670   288.76     
   224    94    89  3.701E-14           3.83211490   288.76     
   225   110   109  3.365E-14           3.91394220   344.08     
   226   110   108  2.645E-16           3.95832450   344.08     
   227   111   109  2.466E-16           3.97775220   344.09     
   228   111   108  3.628E-14           4.02213450   344.09     
   229   111   107  2.627E-16           4.06600490   344.09     
   230   112   108  2.474E-16           4.09001860   344.09     
   231   112   107  3.967E-14           4.13388900   344.09     
   232   122   121  3.623E-14           4.20788210   404.22     
   233   122   120  2.402E-16           4.25205170   404.22     
   234   123   121  2.253E-16           4.27198590   404.23     
   235   123   120  3.888E-14           4.31615550   404.23     
   236   123   119  2.388E-16           4.35928940   404.23     
   237   124   120  2.260E-16           4.38370480   404.23     
   238   124   119  4.221E-14           4.42683880   404.23     
   239   140   133  3.869E-14           4.49264660   469.17     
   240   140   132  2.192E-16           4.53654300   469.17     
   241   141   133  2.067E-16           4.55702950   469.17     
   242   141   132  4.135E-14           4.60092590   469.17     
   243   141   131  2.182E-16           4.64331130   469.17     
   244   142   132  2.074E-16           4.66819330   469.17     
   245   142   131  4.461E-14           4.71057870   469.17     
   246   152   151  4.100E-14           4.76790120   538.92     
   247   152   150  2.008E-16           4.81147690   538.92     
   248   153   151  1.903E-16           4.83254670   538.92     
   249   153   150  4.367E-14           4.87612230   538.92     
   250   153   149  2.001E-16           4.91775260   538.92     
   251   154   150  1.909E-16           4.94314590   538.93     
   252   154   149  4.686E-14           4.98477610   538.93     
   253     5     4  1.720E-09         149.74526640     7.21     
   254     6     4  7.655E-10         149.78755180     7.21     
   255     7     4  1.915E-10         149.81444500     7.21     
   256     6     3  9.602E-10         149.99280660     7.21     
   257     7     3  1.538E-09         150.01969980     7.21     
   258     5     1  3.310E-07         150.17648000     7.21     
   259     6     2  1.839E-07         150.19876000     7.21     
   260     6     1  1.471E-07         150.21873000     7.21     
   261     7     2  2.943E-07         150.22566000     7.21     
   262     7     1  3.679E-08         150.24563560     7.21     
   263     8     4  3.699E-08         150.37529880     7.24     
   264     9     4  1.480E-07         150.43912000     7.24     
   265    10     4  3.333E-07         150.54652000     7.25     
   266     8     3  2.963E-07         150.58056000     7.24     
   267     9     3  1.853E-07         150.64434000     7.24     
   268     8     2  1.562E-09         150.78650450     7.24     
   269     8     1  1.959E-10         150.80648940     7.24     
   270     9     2  9.758E-10         150.85030000     7.24     
   271     9     1  7.834E-10         150.87028500     7.24     
   272    10     1  1.762E-09         150.97765320     7.25     
